51,1
52,0.333333333
52,0.333333333
53,1
53,0.333333333
53,1.333333333
54,0.333333333
54,0.333333333
54,0
55,2.666666667
55,0.333333333
55,0
61,1.666666667
62,0.333333333
62,3.333333333
63,0.666666667
63,2
64,1
64,0.5
65,1.666666667
66,0.333333333
66,1
71,1
71,2
72,1
73,0.666666667
73,1
74,0.333333333
75,2.5
75,0.333333333
76,1
81,4
81,0.333333333
82,6
83,5.5
84,1.5
84,5.5
84,5.5
85,1
86,1
92,1
92,0.333333333
93,0.333333333
93,3
93,1
94,0.5
95,0.333333333
96,3.333333333
96,1
12,0.5
12,2
12,1
13,1
14,1
14,1
15,1
15,1
15,1
16,0.5
16,4
21,0.333333333
21,3
22,1
22,1.333333333
23,5
24,5
25,0.5
25,2
25,1
26,1
26,1
41,0.333333333
41,1
41,150
41,1
42,0.333333333
43,1
44,1
45,1
46,1
46,8
46,0.333333333
46,1
31,1
31,0.333333333
31,3.333333333
32,0.333333333
33,0.333333333
34,0.333333333
35,0.333333333
36,0.333333333
36,1
36,1
